attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
30,100,250,8,7,100,1005351,247722,47355,45,42906,24949,25644
30,100,250,12,7,100,1005351,247722,47355,45,56865,32671,55587
30,100,250,16,7,100,1005351,247722,47355,74,55574,27047,47119
31,100,250,4,2,12,59757,23631,12695,32,36850,24939,29597
31,100,250,8,2,12,59757,23631,12695,52,54003,22982,46910
31,100,250,12,2,12,59757,23631,12695,59,58058,27125,48898
31,100,250,16,2,12,59757,23631,12695,61,58096,27285,46871
32,100,250,4,6,69,725744,23319,19493,618,1025711,30598,142915
32,100,250,8,6,69,725744,23319,19493,59,26236,16105,19862
32,100,250,12,6,69,725744,23319,19493,43,57987,24421,47809
32,100,250,16,6,69,725744,23319,19493,78,52849,27234,46986
33,100,250,4,5,63,747636,253533,21332,863,1465299,28602,183754
33,100,250,8,5,63,747636,253533,21332,71,30341,24992,44881
33,100,250,12,5,63,747636,253533,21332,58,47153,27110,45477
33,100,250,16,5,63,747636,253533,21332,64,47264,29013,48682
34,100,250,4,6,78,1057124,28177,45513,937,1561824,46025,232696
34,100,250,8,6,78,1057124,28177,45513,83,28190,14508,19272
34,100,250,12,6,78,1057124,28177,45513,42,53405,28086,47038
34,100,250,16,6,78,1057124,28177,45513,54,56596,25440,44948
35,100,250,4,3,19,158905,27467,11946,25,35019,23345,24857
35,100,250,8,3,19,158905,27467,11946,52,57142,28139,51257
35,100,250,12,3,19,158905,27467,11946,61,57520,29858,49305
35,100,250,16,3,19,158905,27467,11946,66,53392,26983,47073
36,100,250,4,5,59,623640,27232,36672,1170,1173635,27372,170782
36,100,250,8,5,59,623640,27232,36672,59,27497,29787,280483
36,100,250,12,5,59,623640,27232,36672,49,60023,33137,44897
36,100,250,16,5,59,623640,27232,36672,46,55931,24944,47672
37,100,250,4,-1,124,1088806,24837,46854,1662,2027739,31322,424952
37,100,250,8,-1,124,1088806,24837,46854,3452,3674930,37302,429442
37,100,250,12,-1,124,1088806,24837,46854,3099,3501322,35706,457074
37,100,250,16,-1,124,1088806,24837,46854,3161,3181186,35687,369472
38,100,250,4,-1,24,20940,12734,12787,4,21818,16738,10708
38,100,250,8,-1,24,20940,12734,12787,5,21274,12631,12787
38,100,250,12,-1,24,20940,12734,12787,6,21457,17117,12535
38,100,250,16,-1,24,20940,12734,12787,7,21231,13031,12419
