attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
21,100,250,16,1,8,569,457,586,82,14037,481,15455
22,100,250,4,-1,212,22230,544,16897,891,335062,1476,351791
22,100,250,8,-1,212,22230,544,16897,3114,1048212,2958,1081200
22,100,250,12,-1,212,22230,544,16897,2908,1057611,3065,1066474
22,100,250,16,-1,212,22230,544,16897,3037,1084691,2471,1008486
23,100,250,4,4,53,8471,514,7657,22,6487,542,5665
23,100,250,8,4,53,8471,514,7657,57,16500,736,15899
23,100,250,12,4,53,8471,514,7657,55,15385,411,13625
23,100,250,16,4,53,8471,514,7657,40,18024,394,14551
24,100,250,4,3,20,3335,383,3782,21,5318,387,8683
24,100,250,8,3,20,3335,383,3782,72,17181,605,18717
24,100,250,12,3,20,3335,383,3782,41,14332,665,16784
24,100,250,16,3,20,3335,383,3782,92,15437,614,19050
25,100,250,4,3,30,3470,460,4007,21,5416,514,6655
25,100,250,8,3,30,3470,460,4007,40,17728,400,15449
25,100,250,12,3,30,3470,460,4007,87,14914,492,16261
25,100,250,16,3,30,3470,460,4007,56,16159,709,15393
26,100,250,4,-1,106,18519,440,16377,978,359873,1380,320695
26,100,250,8,-1,106,18519,440,16377,2637,1213010,3055,1075413
26,100,250,12,-1,106,18519,440,16377,2799,1097868,3196,1101689
26,100,250,16,-1,106,18519,440,16377,3280,1079673,2831,1093677
27,100,250,4,5,121,15681,526,10039,1020,226132,1284,231666
27,100,250,8,5,121,15681,526,10039,58,15145,422,13672
27,100,250,12,5,121,15681,526,10039,56,15046,504,14397
27,100,250,16,5,121,15681,526,10039,76,17019,379,20450
28,100,250,4,-1,8,336,572,743,2,458,362,538
28,100,250,8,-1,8,336,572,743,2,642,554,684
28,100,250,12,-1,8,336,572,743,3,351,485,410
28,100,250,16,-1,8,336,572,743,4,369,437,362
29,100,250,4,-1,6,438,341,443,3,599,256,682
29,100,250,8,-1,6,438,341,443,4,1485,310,968
29,100,250,12,-1,6,438,341,443,4,1454,391,1093
29,100,250,16,-1,6,438,341,443,4,1417,276,761
30,100,250,4,7,80,17520,378,12422,521,226998,1089,214046
30,100,250,8,7,80,17520,378,12422,57,17321,411,13515
30,100,250,12,7,80,17520,378,12422,58,17016,518,15998
30,100,250,16,7,80,17520,378,12422,42,15236,507,15645
31,100,250,4,2,12,1966,507,1906,29,8183,419,9201
31,100,250,8,2,12,1966,507,1906,80,13175,391,15399
31,100,250,12,2,12,1966,507,1906,86,13207,433,16513
31,100,250,16,2,12,1966,507,1906,45,15373,453,15511
32,100,250,4,6,54,15079,382,11361,471,167318,830,180797
32,100,250,8,6,54,15079,382,11361,46,15417,584,16285
32,100,250,12,6,54,15079,382,11361,57,18622,509,13331
32,100,250,16,6,54,15079,382,11361,41,14951,515,14006
33,100,250,4,5,94,12204,694,11292,1494,243316,1400,269042
33,100,250,8,5,94,12204,694,11292,54,16571,427,13354
33,100,250,12,5,94,12204,694,11292,43,17791,406,12597
33,100,250,16,5,94,12204,694,11292,68,17150,481,16341
34,100,250,4,6,96,20880,418,11132,675,277728,1398,259882
